No.,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
233,ツルハドラッグ　合川店,018-4282,北秋田市,李岱字豊田36-1,,0186-78-9268,21.その他,薬局
234,トヨタレンタカー大館能代空港店,018-3454,北秋田市,脇神字カラムシ岱21-144,,0186-60-0100,12.レンタカー,
235,トヨタレンタカー鷹巣店,018-3325,北秋田市,元町13-24,,0186-63-0100,12.レンタカー,
236,エコーあに,018-4613,北秋田市,阿仁銀山字下新町119-4,,0186-82-2022,3.小売（お土産等）,
237,大民石油販売株式会社北秋田給油所,018-3301,北秋田市,綴子字大道堤81,,0186-67-6117,21.その他,石油販売業（ガソリンスタンド）
238,大民石油販売株式会社鷹巣給油所,018-3321,北秋田市,松葉町8-1,,0186-62-0333,21.その他,石油
239,サンドラッグ鷹巣店,018-3322,北秋田市,栄字前網72,,0186-60-0061,21.その他,薬局
240,丸伊商店　本店スーパー,018-4513,北秋田市,小又字下川原１１０番地,,0186-75-2341,4.コンビニ・スーパー,
241,丸伊商店　グリーントピア阿仁前田給油所,018-4515,北秋田市,阿仁前田下山根195-1,,0186-75-2344,21.その他,ガソリンスタンド
242,丸伊商店　阿仁合スーパー,018-4613,北秋田市,阿仁銀山下新町132,,0186-82-3233,4.コンビニ・スーパー,
243,ローソン　合川町店,018-4211,北秋田市,川井字才ノ神54-1,,0186-78-2963,4.コンビニ・スーパー,
244,Ａコープもりよし店,018-4301,北秋田市,米内沢字出向59,,0186-60-5151,4.コンビニ・スーパー,
245,しまむら　イオンタウンたかのす店,018-3302,北秋田市,栄字中綱30,,0186-69-7001,21.その他,
246,キュララ鷹巣,018-3302,北秋田市,栄字中綱31-1,,0186-62-9923,21.その他,ファッション
247,株式会社　高坂,018-3322,北秋田市,住吉町9-17,,0186-62-1726,21.その他,ファッション
248,ファミリーマート阿仁前田店,018-4515,北秋田市,阿仁前田字上館下395番地1,,0186-60-7410,4.コンビニ・スーパー,
249,和風レストランまるまつ鷹巣店,018-3302,北秋田市,栄字前綱76,,0186-62-5999,2.飲食店（酒類提供あり）,
250,ファミリーマート北秋田住吉町店,018-3322,北秋田市,住吉町87,,0186-69-7002,4.コンビニ・スーパー,
251,ファミリーマート北秋田鷹巣店,018-3331,北秋田市,鷹巣町鷹巣東上綱6-1,,0186-69-7141,4.コンビニ・スーパー,
252,ファミリーマート北秋田綴子店,018-3301,北秋田市,綴子字大堤81-9,,0186-69-8081,4.コンビニ・スーパー,
253,食事処かたりべ,018-4515,北秋田市,阿仁前田字大道上3-1,,0186-75-3939,2.飲食店（酒類提供あり）,
254,四季美館　売店,018-4515,北秋田市,阿仁前田字大道上3-1,,0186-75-3939,3.小売（お土産等）,
255,大太鼓の館,018-3301,北秋田市,綴子字大堤道下62-1,,0186-63-2233,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
256,ラグノオ　いとく鷹巣店,018-3302,北秋田市,栄字前綱76,,0186-62-9960,21.その他,スイーツ
257,森沢石油株式会社　セルフ北欧の杜SS,018-4301,北秋田市,米内沢字長野沢139-1,,0186-72-3021,21.その他,ガソリンスタンド
258,ケーズデンキ　鷹巣店,018-3302,北秋田市,栄字前綱86-1,,0186-60-1700,21.その他,家電量販店
259,レストランどんどん,018-3301,北秋田市,綴子字大堤道下62-1,,0186-63-2233,2.飲食店（酒類提供あり）,
260,大太鼓の里ぶっさん館売店,018-3301,北秋田市,綴子字大堤道下62-1,,0186-63-2233,3.小売（お土産等）,
261,デイリーヤマザキ鷹巣七日市店,018-3452,北秋田市,七日市字前田67-1,,0186-66-2715,4.コンビニ・スーパー,
262,秋北バス米内沢営業所,018-4301,北秋田市,米内沢字ヲツコ沢27,,0186-72-4551,6.バス,
263,秋田北空港クラシックゴルフ倶楽部,018-4301,北秋田市,米内沢字長野沢142,,0186-72-5511,16.スポーツ,
264,丸宮タクシー,018-3322,北秋田市,住吉町8-7-2,,0186-62-2030,7.ハイヤー・タクシー,
265,（株）サンデー　鷹巣店,018-3302,北秋田市,栄字中綱16番地,,0186-62-6101,21.その他,ホームセンター
266,ファミリーマート＋Aコープあいかわ,018-4211,北秋田市,川井字鳥屋沢25,,0186-78-9003,4.コンビニ・スーパー,
267,ローソン　北秋田米内沢中島店,018-4301,北秋田市,米内沢中島40-3,,0186-67-6709,4.コンビニ・スーパー,
268,いとく鷹巣南店,018-3323,北秋田市,米代町５番13,,0186-60-1400,4.コンビニ・スーパー,
269,いとく鷹巣ショッピングセンター,018-3302,北秋田市,栄字前綱76,,0186-69-7799,1.飲食店（酒類提供なし）,
270,いとく鷹巣ショッピングセンター　たんぽぽ,018-3302,北秋田市,栄字前綱76,,0186-69-7799,1.飲食店（酒類提供なし）,
271,打当温泉マタギの湯,018-4731,北秋田市,阿仁打当字仙北渡道上ミ67,,0186-84-2612,21.その他,宿泊施設
272,ローソン　北秋田栄店,018-3302,北秋田市,栄字前綱67-1,,0186-62-4245,4.コンビニ・スーパー,
273,ローソン　北秋田住吉町店,018-3322,北秋田市,住吉町10-21,,0186-62-5145,4.コンビニ・スーパー,
274,ローソン　北秋田米内沢諏訪岱店,018-4301,北秋田市,米内沢字諏訪岱140-2,,0186-72-3699,4.コンビニ・スーパー,
275,大館能代空港　レストラン　ポートワン,018-3454,北秋田市,脇神字カラムシ岱21-144,,0186-63-2881,2.飲食店（酒類提供あり）,
276,妖精の森　観光きのこ園,018-4511,北秋田市,森吉森吉高原内,,0186-76-2107,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
277,マルホンカウボーイ鷹巣店,018-3331,北秋田市,鷹巣字東上綱1-1,,0186-63-2331,4.コンビニ・スーパー,
278,ザ・ビッグたかのす店,018-3302,北秋田市,栄字中綱31-1,,0186-62-5393,4.コンビニ・スーパー,
279,北秋田市観光案内所,018-3321,北秋田市,松葉町3-1,,0186-62-1851,21.その他,観光案内及び物販販売
280,クウィンス森吉レストラン,018-4513,北秋田市,小又堂ノ下21-2,,0186-60-7000,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
281,クウィンス森吉　日帰り入浴および売店,018-4513,北秋田市,小又堂ノ下21-2,,0186-60-7000,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
282,マツダ石油,018-4301,北秋田市,米内沢諏訪岱40-1,,0186-72-3271,21.その他,ガソリンスタンド
283,阿仁川あゆセンター,018-4301,北秋田市,米内沢字柳原39-1,,0186-60-5522,3.小売（お土産等）,
284,阿仁スキー場,018-4624,北秋田市,阿仁鍵ノ滝字鍵ノ滝79-5,,0186-82-3311,16.スポーツ,
285,森沢石油株式会社　上小阿仁SS,018-4401,北秋田郡上小阿仁村,沖田面字小蒲野70,,0186-77-2635,21.その他,ガソリンスタンド
286,ローソン上小阿仁店,018-4411,北秋田郡上小阿仁村,福館字山根91-1,,0186-77-3263,4.コンビニ・スーパー,
287,レストラン真珠,018-3151,能代市,二ツ井町三千苅６番地１,,0185-73-2010,1.飲食店（酒類提供なし）,
288,タケダスポーツ　能代店,016-0855,能代市,字西大瀬３０―３,,0185-52-5201,21.その他,スポーツ用品
289,ホテルルートイン能代,016-0855,能代市,西大瀬17-1,,0185-89-1003,21.その他,宿泊施設
290,伊藤謙商店,018-3103,能代市,二ツ井町荷上場字鍋良子出口104,,0185-73-2103,3.小売（お土産等）,
291,福多珈琲　道の駅ふたつい店,018-3102,能代市,二ツ井町小繋字泉51,,0185-74-5118,1.飲食店（酒類提供なし）,
292,グリッシーニ　道の駅ふたつい店,018-3102,能代市,二ツ井町小繋字泉51,,0185-74-5118,1.飲食店（酒類提供なし）,
293,koikoi食堂,018-3102,能代市,二ツ井町小繋字泉51,,0185-74-5118,2.飲食店（酒類提供あり）,
294,道の駅ふたつい,018-3102,能代市,二ツ井町小繋字泉51,,0185-74-5118,3.小売（お土産等）,
295,フトンショップ　ミヤコシ,016-0821,能代市,畠町7-40,,0185-54-1070,21.その他,ふとん
296,ダイニング美とん,016-0825,能代市,柳町13-13,,0185-74-6123,2.飲食店（酒類提供あり）,
297,株式会社能代ゴルフガーデン,016-0171,能代市,河戸川字西山1-3,,0185-52-1160,16.スポーツ,
298,きみまち阪　壱ノ座,018-3102,能代市,二ツ井町小繋字泉20,,0185-73-3925,3.小売（お土産等）,
299,寿晴ラーメン,018-3121,能代市,二ツ井町飛根字新大林320,,0185-75-2333,2.飲食店（酒類提供あり）,
300,ホテルニューグリーン能代,016-0865,能代市,青葉町3-5,,0185-54-3511,21.その他,宿泊施設
301,ゆるりと菜村さ来　能代,016-0825,能代市,柳町9-26,,0185-53-5050,2.飲食店（酒類提供あり）,
302,ナガハマコーヒー能代店,016-0862,能代市,寿域長根52-3,,0185-74-7700,1.飲食店（酒類提供なし）,
303,池田薬局　能代おちあい店,016-0014,能代市,落合字上悪土216-3,,0185-89-2600,21.その他,ドラッグストア
304,池田薬局　能代店,016-0842,能代市,追分町4-8,,0185-89-1312,21.その他,ドラッグストア
305,薬王堂　能代二ツ井店,018-3145,能代市,二ツ井町字道上中坪32番地1,,0185-74-6570,21.その他,薬局
306,薬王堂　能代出戸店,016-0853,能代市,字出戸後6番地23,,0185-74-6531,21.その他,薬局
307,薬王堂　能代寺向店,016-0188,能代市,字寺向93番1,,0185-74-6851,21.その他,薬局
308,薬王堂　能代落合店,016-0014,能代市,落合字下前田193,,0185-54-5880,21.その他,薬局
309,のしろ木工品市場,016-0831,能代市,元町5-16,,0185-88-8592,3.小売（お土産等）,
310,お菓子のセキト　上町本店,016-0817,能代市,上町１２－２,,0185-55-0030,3.小売（お土産等）,
311,お菓子のセキト　バイパス店,016-0834,能代市,下内崎６３－１３,,0185-52-1230,3.小売（お土産等）,
312,ハッピードラック能代南店,016-0839,能代市,東大瀬51-3,,0185-89-5900,21.その他,ドラッグストア
313,ハッピードラック能代北店,016-0014,能代市,落合上前田169,,0185-74-6527,21.その他,ドラッグストア
314,イエローハット能代店,016-0174,能代市,新山前46-2,,0184-27-1680,21.その他,自動車用品小売業
315,ツルハドラッグ　二ツ井店,018-3151,能代市,二ツ井町三千苅93-2,,0185-71-0545,21.その他,薬局
316,ツルハドラッグ　向能代店,016-0014,能代市,落合字大野78,,0185-89-6755,21.その他,薬局
317,ツルハドラッグ　能代店,016-0188,能代市,寺向73,,0185-89-2487,21.その他,薬局
318,ツルハドラッグ　能代長崎店,016-0873,能代市,長崎41,,0185-89-5170,21.その他,薬局
319,湯らくの宿のしろ,016-0014,能代市,落合字亀谷地1-11,,0185-54-2121,21.その他,宿泊施設
320,オリックスレンタカー　能代店,016-0883,能代市,五雲岱16-2,,0185-89-1300,12.レンタカー,
321,麺家麵四郎,016-0179,能代市,朝内字朝内堤下74-4,,0185-52-4027,2.飲食店（酒類提供あり）,
322,トヨタレンタカー能代店,016-0852,能代市,出戸本町15-9,,0185-52-0100,12.レンタカー,
323,やまや能代店,016-0186,能代市,下野3-2,フレスポ能代内,0185-88-8171,21.その他,酒店
324,サンドラッグ能代南店,016-0862,能代市,寿域長根52-3,,0185-89-7830,21.その他,薬局
325,魚民能代店,016-0872,能代市,字芝童森5-19,1階,0185-52-4788,2.飲食店（酒類提供あり）,
326,バッグコレクションモリタ　イオン能代店,016-0825,能代市,柳町11-1　イオン能代店2F,,0185-52-0255,21.その他,ファッション
327,ローソン　能代浅内店,016-0179,能代市,浅内字鵜川堺13-1,,0185-89-1213,4.コンビニ・スーパー,
328,アベイル　能代店,016-0161,能代市,字松長布313-1,,0185-89-5613,21.その他,
329,しまむら　能代店,016-0186,能代市,字下野27-2,,0185-89-1715,21.その他,
330,(株)オカモト　セルフ能代アクロス,016-0188,能代市,寺向120-1,,0185-89-1101,21.その他,ガソリンスタンド
331,スイートアップ,016-0825,能代市,柳町11-1,,0185-52-0225,21.その他,ファッション
332,サロンド　高坂,016-0825,能代市,柳町9-18,,0185-55-1136,21.その他,ファッション
333,ファミリーマート能代インター店,016-0121,能代市,鰄淵字古屋布701,,0185-70-1110,4.コンビニ・スーパー,
334,ファミリーマート能代港入口店,016-0875,能代市,字南陽崎31-1,,0185-89-4480,4.コンビニ・スーパー,
335,ファミリーマート秋田能代明治町店,016-0833,能代市,明治町15-17,,0185-89-1002,4.コンビニ・スーパー,
336,モスバーガー能代店,016-0186,能代市,字下野13-2,,0185-55-1441,1.飲食店（酒類提供なし）,
337,赤から能代店,016-0186,能代市,字下野13-1,,0185-55-3939,2.飲食店（酒類提供あり）,
338,ファミリーマート秋田能代大瀬店,016-0839,能代市,字東大瀬50-1,,0185-89-8760,4.コンビニ・スーパー,
339,吉野家７号線能代店,016-0000,能代市,東大瀬2-2,,0185-89-7311,2.飲食店（酒類提供あり）,
340,能代観光株式会社,016-0862,能代市,寿域長根36-34,,0185-55-2544,6.バス,
341,ラグノオ　いとく能代南店,016-0862,能代市,寿域長根52-3,,0185-54-3939,21.その他,スイーツ
342,ラグノオ　いとく能代ショッピングセンター店,016-0188,能代市,寺向70,,0185-54-6615,21.その他,スイーツ
343,ファミリーマート能代大町店,016-0803,能代市,大町7-35,,0185-89-7955,4.コンビニ・スーパー,
344,ファミリーマート能代後谷地店,016-0863,能代市,後谷地10-5,,0185-89-1030,4.コンビニ・スーパー,
345,有限会社成金金物店,018-3152,能代市,二ツ井町字下野家後32-3,,0185-73-3327,21.その他,建築資材・家庭金物
346,森沢石油株式会社　二ツ井SS,018-3145,能代市,二ツ井町海道上中坪25-1,,0185-73-3551,21.その他,ガソリンスタンド
347,ケーズデンキ　能代東店,016-0184,能代市,高塙133,,0185-54-7727,21.その他,家電量販店
348,牛角　能代店,016-0872,能代市,芝童森7-9,,0185-88-8739,2.飲食店（酒類提供あり）,
349,能代市観光案内所,016-0831,能代市,元町14-40,,0185-88-8802,3.小売（お土産等）,
350,天洋酒店,016-0803,能代市,大町8-16,,0185-52-3722,3.小売（お土産等）,
351,秋北バス能代バスステーション,016-0804,能代市,万町3-4,,0185-53-3112,6.バス,
352,ファミリーマート能代上町店,016-0817,能代市,上町8-14,,0185-89-7888,4.コンビニ・スーパー,
353,NewDays KIOSK 能代,016-0831,能代市,元町14-40,,050-3644-6086,4.コンビニ・スーパー,
354,NewDays KIOSK 東能代駅店,016-0121,能代市,鰔淵字下悪戸60,,050-3644-6086,4.コンビニ・スーパー,
355,ファミリーマート　秋田能代南店,016-0872,能代市,字芝童森2-1,,0185-89-8866,4.コンビニ・スーパー,
356,ヤマダデンキ テックランド能代店,016-0183,能代市,字中柳2-14,,0185-74-5631,21.その他,家電
357,ローソン　能代南バイパス店,016-0871,能代市,字昇平岱42-2,,0185-55-1547,4.コンビニ・スーパー,
358,ローソン　能代大瀬店,016-0181,能代市,字大瀬儘下6-1,,0185-74-6882,4.コンビニ・スーパー,
359,ローソン　能代藤山店,016-0856,能代市,字藤山103,,0185-54-8615,4.コンビニ・スーパー,
360,（株）サンデー　能代店,016-0188,能代市,字寺向105番,,0185-52-8481,21.その他,ホームセンター
361,ローソン二ツ井町店,018-3151,能代市,二ツ井町字三千苅85-1,,0185-73-5663,4.コンビニ・スーパー,
362,札幌海鮮丸　能代店,016-0854,能代市,字豊祥岱1-7,,0185-55-3876,3.小売（お土産等）,
363,ファミリーマート秋田二ツ井店,018-3147,能代市,二ツ井町字小槻ノ木9,,0185-71-1466,4.コンビニ・スーパー,
