114,田沢湖ビール,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,3.小売(お土産等),
115,森林工芸館,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,3.小売(お土産等),
116,温泉ゆぽぽ 温泉館,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,2.飲食店(酒類提供あり),
117,温泉ゆぽぽ 本館売店,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,3.小売(お土産等),
118,温泉ゆぽぽ,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,21.その他,宿泊施設
119,児玉商会駅前SS,018-2303,山本郡三種町,森岳字町尻50-5,,0185-83-2201,21.その他,ガソリンスタンド
120,フトンショップ ミヤコシ,016-0821,能代市,畠町7-40,,0185-54-1070,21.その他,ふとん
Unnamed: 0,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
1081,隠れダイニングぽけっと,018-5334,鹿角市,十和田毛馬内字下寄熊71,,0186-35-3141,2.飲食店(酒類提供あり),
1082,モスバーガー能代店,016-0186,能代市,字下野13-2,,0185-55-1441,1.飲食店(酒類提供なし),
1083,赤から能代店,016-0186,能代市,字下野13-1,,0185-55-3939,2.飲食店(酒類提供あり),
1084,ダイニングBAR ZERO,010-0341,男鹿市,船越字八郎谷地184-1,ASビル(A),090-9031-3121,2.飲食店(酒類提供あり),
1085,ファミリーマート秋田能代大瀬店,016-0839,能代市,字東大瀬50-1,,0185-89-8760,4.コンビニ・スーパー,
1086,みやげ処無限堂秋田空港店,010-0802,秋田市,雄和椿川字山籠49,秋田空港ターミナルビル2F出発ロ,ー01内8-886-8090,2.飲食店(酒類提供あり),
1087,湯沢グランドホテル,012-0845,湯沢市,材木町一丁目1番1号,,0183-72-3030,21.その他,宿泊施設
1088,札幌かに本家秋田店,010-0001,秋田市,中通2-3-8,アトリオン12階,018-836-7888,2.飲食店(酒類提供あり),
1089,(有)栗久,017-0843,大館市,字中町38番地,,0186-42-0514,3.小売(お土産等),
1090,とりっこ追分店,010-0101,潟上市,天王字追分15-18,プラザビル1F,018-873-7996,2.飲食店(酒類提供あり),
1091,とりっこ御所野店,010-1413,秋田市,御所野地蔵田1-11,レインボーガーデンC棟,018-829-3449,2.飲食店(酒類提供あり),
1092,とりっこ新屋店,010-1632,秋田市,新屋大川町19-85,,018-828-8883,2.飲食店(酒類提供あり),
1093,なかいち桟敷,010-0001,秋田市,中通1丁目4-3,エリアなかいち1F,018-834-7705,2.飲食店(酒類提供あり),
1094,ガオジェラ,010-0511,男鹿市,船川港船川字新浜町1-19,道の駅おが内,0185-47-7515,1.飲食店(酒類提供なし),
1095,男鹿水族館GAOレストランフルット,010-0673,男鹿市,?賀塩浜壺ヶ沢93,,0185-32-2221,2.飲食店(酒類提供あり),
1096,男鹿水族館GAOミュージアムショップ,010-0673,男鹿市,?賀塩浜壺ヶ沢93,,0185-32-2221,3.小売(お土産等),
1097,男鹿水族館GAO,010-0673,男鹿市,?賀塩浜壺ヶ沢93,,0185-32-2221,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
1098,ドン・キホーテ潟上店,018-1504,潟上市,飯田川飯塚上堤敷69-13,,018-854-8611,21.その他,日用品
1099,有限会社日野 焼肉ほむら家,014-0801,大仙市,?地谷字川前252-1,,0187-86-3029,2.飲食店(酒類提供あり),
1100,八峰町産直施設 ぶりこ,018-2617,山本郡八峰町,八森字御所の台51,,0185-70-4020,3.小売(お土産等),
1101,龍門亭 千葉旅館,018-5421,鹿角市,十和田大湯字上の湯1丁目38番地1,,0186-37-2211,21.その他,宿泊施設
1102,PLUS CAF?大曲駅店,014-0027,大仙市,大曲通町6-1,,0187-73-7577,2.飲食店(酒類提供あり),
1103,オカモトセルフ大館店,017-0043,大館市,有浦1丁目6-18,,0186-44-4610,21.その他,ガソリンスタンド
1104,肉山秋田,013-0063,横手市,婦気大提字田久保下204-1,,0182-35-5539,2.飲食店(酒類提供あり),
1105,欧風創作料理 Bar.PaSaPorte,013-0063,横手市,婦気大提字田久保下204-1,,0182-35-5539,2.飲食店(酒類提供あり),
1106,CORNERS SPORTSAUTHORITY秋田,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-892-7335,21.その他,スポーツ用品店
1107,スポーツオーソリティ秋田店,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-892-7531,21.その他,スポーツ用品店
1108,吉野家大館清水店,017-0046,大館市,清水2丁目1-1,,0186-49-8755,2.飲食店(酒類提供あり),
1109,吉野家105号線由利本荘店,015-0852,由利本荘市,一番堰155-1,,0184-28-4300,2.飲食店(酒類提供あり),
1110,吉野家7号線秋田土崎店,011-0951,秋田市,土崎港相染町家ノ下44,,018-838-6116,2.飲食店(酒類提供あり),
1111,吉野家秋田駅ビルトピコ店,010-8530,秋田市,中通7丁目1-2,秋田駅ビルトピコ,018-893-6510,2.飲食店(酒類提供あり),
1112,吉野家秋田広面店,010-0041,秋田市,広面樋ノ沖82-2,,018-884-3880,2.飲食店(酒類提供あり),
1113,吉野家13号線横手店,013-0042,横手市,駅?2丁目8-23,,0182-35-5352,2.飲食店(酒類提供あり),
1114,吉野家7号線能代店,016-0000,能代市,東大瀬2-2,,0185-89-7311,2.飲食店(酒類提供あり),
1115,吉野家13号線秋田川尻若葉町店,010-0944,秋田市,川尻若葉町5-20,,018-883-0367,2.飲食店(酒類提供あり),
1116,ローソン横手山内店,019-1108,横手市,山内土渕字君ヶ原14-1,,0182-53-2990,4.コンビニ・スーパー,
1117,三松堂トピコ店,010-0001,秋田市,中通7-1-2,,018-889-3583,3.小売(お土産等),
1118,能代観光株式会社,016-0862,能代市,寿域?根36-34,,0185-55-2544,6.バス,
1119,薬王堂秋田六郷店,019-1402,仙北郡美郷町,野中字中朋子106,,0187-84-2010,21.その他,薬局
1120,有限会社末広自動車,013-0021,横手市,大町5-10,,0182-32-0305,7.ハイヤー・タクシー,
1121,天然温泉 田沢湖レイクリゾート,014-1201,仙北市,田沢湖生保内字下高野82-117,,0187-46-2016,21.その他,宿泊施設
1122,ラグノオ ユニバース毛馬内店,018-5334,鹿角市,十和田毛馬内字中陣場101,,0186-35-3922,21.その他,スイーツ
1123,ラグノオ いとく鹿角店,018-5201,鹿角市,花輪字下タ町164-1,,0186-23-5757,21.その他,スイーツ
1124,ラグノオ いとく片山店,017-0872,大館市,片山町2-4-1,,0186-42-7300,21.その他,スイーツ
1125,ラグノオ いとく大舘東店,017-0803,大館市,東台2-1-9,,0186-49-6311,21.その他,スイーツ
1126,ラグノオ いとく大舘ショッピングセンター店,017-0044,大館市,御成町3-7-58,,0186-49-1330,21.その他,スイーツ
1127,ラグノオ いとく能代南店,016-0862,能代市,寿域?根52-3,,0185-54-3939,21.その他,スイーツ
1128,ラグノオ いとく鷹巣店,018-3302,北秋田市,栄字前綱76,,0186-62-9960,21.その他,スイーツ
1129,ラグノオ いとく能代ショッピングセンター店,016-0188,能代市,寺向70,,0185-54-6615,21.その他,スイーツ
1130,ラグノオ 秋田トピコ店,010-0001,秋田市,中通7-2-1,,018-833-0458,3.小売(お土産等),
1131,ラグノオ いとく男鹿店,010-0502,男鹿市,船川港比詰字大巻20-1,,0185-24-4747,21.その他,スイーツ
1132,ラグノオ いとく秋田東店,010-0041,秋田市,広面字家の下72-3,,018-834-6610,21.その他,スイーツ
1133,ラグノオ いとく土崎みなと店,011-0945,秋田市,土崎港?3-2-18,,018-857-0233,21.その他,スイーツ
1134,ラグノオ 秋田まるごと市場店,010-0061,秋田市,卸町2-2-7,,018-867-2800,1.飲食店(酒類提供なし),
1135,ラグノオ グランマート外旭川店,010-0802,秋田市,外旭川字小谷25,,018-868-5600,21.その他,スイーツ
1136,道の駅うご端縫いの郷,012-1131,雄勝郡羽後町,?馬音内字中野200,,0183-56-6128,3.小売(お土産等),
1137,ファミリーマート能代大町店,016-0803,能代市,大町7-35,,0185-89-7955,4.コンビニ・スーパー,
1138,ファミリーマート能代後谷地店,016-0863,能代市,後谷地10-5,,0185-89-1030,4.コンビニ・スーパー,
1139,農家の宿 星雪館,014-0602,仙北市,?木町桧木内字大台野開404,,0187-48-2914,21.その他,宿泊施設
1140,デイリーヤマザキ 本荘鶴沼店,015-0874,由利本荘市,給人町88-1,,0184-23-7152,4.コンビニ・スーパー,
1141,有限会社成金金物店,018-3152,能代市,二ツ井町字下野家後32-3,,0185-73-3327,21.その他,建築資材・家庭金物
1142,ヤマノビューティウェルネスサロン ホテルメトロポリタン秋田,010-0001,秋田市,中通7-2-1,,018-833-8115,21.その他,美容業(婚礼)
1143,リッチモンドホテル秋田駅前,010-0001,秋田市,中通2丁目2-26,,018-884-0055,21.その他,宿泊施設
1144,森沢石油株式会社 秋田北インターSS,010-0136,秋田市,上新城中字南波掛19-1,,018-872-3133,21.その他,ガソリンスタンド
1145,森沢石油株式会社 二ツ井SS,018-3145,能代市,二ツ井町海道上中坪25-1,,0185-73-3551,21.その他,ガソリンスタンド
1146,森沢石油株式会社 上小阿仁SS,018-4401,北秋田郡上小阿仁,沖田面字小蒲野70,,0186-77-2635,21.その他,ガソリンスタンド
1147,森沢石油株式会社 セルフ北欧の杜SS,018-4301,北秋田市,米内沢字?野沢139-1,,0186-72-3021,21.その他,ガソリンスタンド
1148,ケーズデンキ 鷹巣店,018-3302,北秋田市,栄字前綱86-1,,0186-60-1700,21.その他,家電量販店
1149,ケーズデンキ 横手店,013-0063,横手市,婦気大堤字婦気前261-1,,0182-33-2221,21.その他,家電量販店
1150,ケーズデンキ 大館店,017-0046,大館市,清水2-2-70,,0186-43-3311,21.その他,家電量販店
1151,ケーズデンキ 大仙店,014-0033,大仙市,和合字坪立138,,0187-63-5795,21.その他,家電量販店
1152,ケーズデンキ 秋田東店,010-0041,秋田市,広面字宮田12-1,,018-831-0501,21.その他,家電量販店
1153,ケーズデンキ 本荘店,015-0843,由利本荘市,東梵天141,,0184-24-5211,21.その他,家電量販店
1154,ケーズデンキ 能代東店,016-0184,能代市,高塙133,,0185-54-7727,21.その他,家電量販店
1155,ケーズデンキ 鹿角花輪店,018-5201,鹿角市,花輪字扇ノ間98-1,,0186-22-1460,21.その他,家電量販店
1156,ケーズデンキ 男鹿店,010-0341,男鹿市,船越字内子89,,0185-35-2551,21.その他,家電量販店
1157,ケーズデンキ 秋田中央店,010-0976,秋田市,八橋南1-3-25,,018-883-0710,21.その他,家電量販店
1158,喜久屋 サラダ館 稲川店,012-0105,湯沢市,川連町久保70-1,,0183-42-2421,21.その他,ファッション
1159,和の店 きくや,012-0827,湯沢市,表町2-1-22,,0183-56-6333,21.その他,ファッション
1160,ぱっぷや まるごと市場店,010-0061,秋田市,卸町2-2-7,,018-896-6101,2.飲食店(酒類提供あり),
1161,ぱっぷや 市?市場店,010-0001,秋田市,中通4-7-35,,018-827-5185,2.飲食店(酒類提供あり),
1162,マックハウス秋田八橋店,010-0965,秋田市,八橋新川向1-20,,018-862-9010,21.その他,衣料品小売業
1163,斎藤商店,014-0511,仙北市,?木町?明寺字潟尻90,,0187-47-2381,3.小売(お土産等),
1164,ネクサス横手店,013-0043,横手市,安田字堰添34-1,,0182-36-2553,21.その他,スポーツ用品
1165,田沢湖共栄パレス,014-1204,仙北市,田沢湖田沢田沢字春山148,,0187-43-0701,2.飲食店(酒類提供あり),
1166,トイザらス・ベビーザらス秋田店,010-0061,秋田市,卸町1-135-1,,018-866-9214,21.その他,玩具
1167,灯台荘,010-0675,男鹿市,北浦入道崎字昆布浦2-70,,0185-38-2121,2.飲食店(酒類提供あり),
1168,進藤水産,010-0001,秋田市,中通4-7-35,,018-833-1816,21.その他,ドラッグストア
1169,割烹 桃屋,014-1201,仙北市,田沢湖生保内字水尻79,,0187-43-0031,2.飲食店(酒類提供あり),
1170,古泉洞,014-0325,仙北市,角館町東勝楽丁9,,0187-53-2902,2.飲食店(酒類提供あり),
1171,新日本海フェリー 秋田ターミナル内売店,011-0945,秋田市,土崎港?1丁目13番13号,,018-880-2370,3.小売(お土産等),
1172,新日本海フェリー 秋田ターミナル内レストラン,011-0945,秋田市,土崎港?1丁目13番13号,,018-880-2370,1.飲食店(酒類提供なし),
1173,(株)タビックスジャパン秋田支店,010-0001,秋田市,中通2-4-19,商工中金第一生命ビル6F,018-889-1082,21.その他,旅行業
1174,優勝軒 横手店,013-0042,横手市,前郷上三枚橋25,横手市?市場内,0182-23-6339,2.飲食店(酒類提供あり),
1175,有限会社清水商店,018-5201,鹿角市,花輪字下中島113番地,,0186-22-0383,3.小売(お土産等),
1176,遠灯庵,010-1211,秋田市,雄和椿川字小鹿野?175-69,,018-886-8101,2.飲食店(酒類提供あり),
1177,優勝軒 大曲店,014-0003,大仙市,美原町8-3,,0187-73-5033,2.飲食店(酒類提供あり),
1178,USAGI ONLINE STORE 秋田OPA店,010-0874,秋田市,千秋久保田町4-2,秋田OPA,018-853-0822,21.その他,ファッション
1179,Cosme Kitchen market 秋田OPA店,010-0874,秋田市,千秋久保田町4-2,秋田OPA,018-838-7522,21.その他,ファッション
1180,喰らい亭,010-0951,秋田市,山王1丁目12-28,黑川ビル2F,018-865-5370,2.飲食店(酒類提供あり),
1181,ホテルルートイン大曲駅前,014-0027,大仙市,大曲通町3-14,,0187-86-3511,21.その他,宿泊施設
1182,ホテルルートイン大館駅南,017-0045,大館市,中道2-1-60,,0186-44-6055,21.その他,宿泊施設
1183,牛角 能代店,016-0872,能代市,芝童森7-9,,0185-88-8739,2.飲食店(酒類提供あり),
1184,佐藤食品,018-1401,潟上市,昭和大久保字片田千刈田26,,018-877-2054,3.小売(お土産等),
1185,道の駅美郷,019-1302,仙北郡美郷町,金沢字下館124,,0182-37-3000,3.小売(お土産等),
1186,秋田空港おみやげ広場あえーる,010-1211,秋田市,雄和椿川字山籠49,,018-886-3367,3.小売(お土産等),
1187,能代市観光案内所,016-0831,能代市,元町14-40,,0185-88-8802,3.小売(お土産等),
1188,趣味の店ながや,012-1131,雄勝郡羽後町,?馬音内本町84-1,,0183-62-2441,3.小売(お土産等),
1189,おみやげと地酒処 君ちゃん,014-0359,仙北市,角館町北野124-2,,0187-49-7166,3.小売(お土産等),
1190,六郷温泉あったか山,019-1403,仙北郡美郷町,六郷東根下馬転120,,0187-84-2641,3.小売(お土産等),
1191,康楽館,017-0202,鹿角郡小坂町,小坂鉱山字松ノ下2,,0186-29-3732,18.劇場、観覧場、映画館、演劇場,
1192,レールパーク,017-0202,鹿角郡小坂町,小坂鉱山字古川20-9,,0186-25-8890,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
1193,鉱山事務所,017-0202,鹿角郡小坂町,小坂鉱山字古館48-2,,0186-29-5522,19.文化施設(美術館、博物館等),
1194,明治百年堂,017-0202,鹿角郡小坂町,小坂鉱山字古館48-2,,0186-29-2821,3.小売(お土産等),
1195,秋田八幡平スキー場,018-5141,鹿角市,八幡平字熊沢外8国有林31311林班ホ小班,,0186-31-2020,16.スポーツ,
1196,りんごの里 平塚果樹園,018-8421,鹿角市,十和田大湯字箒畑105-1,,0186-37-3997,3.小売(お土産等),
1197,マツモトキヨシ秋田駅ビルALS店,010-0001,秋田市,中通7-2-1,,018-834-8288,3.小売(お土産等),
1198,おみやげの安田,018-1611,南秋田郡八郎潟町,上沖谷地67,,018-875-3951,3.小売(お土産等),
1199,安田のつくだ煮,010-0001,秋田市,中通4-7-35,,018-833-0214,3.小売(お土産等),
1200,郷土菓子司 勝月 通町本店,010-0912,秋田市,保?野通町2?1,,018-862-3045,3.小売(お土産等),
Unnamed: 0,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
1201,郷土菓子司 勝月 トピコ店,010-0001,秋田市,中通7-1-2,,018-889-3583,3.小売(お土産等),
1202,ルートイングランティア秋田SPA RESORT,010-0001,秋田市,中通5-2-1,,018-825-5411,21.その他,宿泊施設
1203,ユニクロ フレスポ横手店,013-0043,横手市,横手市安田字向田185,,0182-35-6301,21.その他,アパレル
1204,道の駅おが,010-0511,男鹿市,船川港船川字新浜町1-19,,0185-47-7515,3.小売(お土産等),
1205,旅館平利,013-0021,横手市,大町6-22,,0182-32-1175,2.飲食店(酒類提供あり),
1206,レストランどんどん,018-3301,北秋田市,綴子字大堤道下62-1,,0186-63-2233,2.飲食店(酒類提供あり),
1207,大太鼓の里ぶっさん館売店,018-3301,北秋田市,綴子字大堤道下62-1,,0186-63-2233,3.小売(お土産等),
1208,柴田慶信商店秋田本店,017-0044,大館市,御成町2丁目15-28,,0186-42-6123,3.小売(お土産等),
